Id,Atleta Nombre y Apellidos,Repres. Nombre y Apellidos,Año Nac.,Tel.,Correo,Licencia no.,Categoría,DNI,Equipo
8345,RTYERTE ,RTYERTE,2002,56785678,eyedra@cimex.com.cu,,BENJAMIN,5678567,
8345,RTYERTE ,RTYERTE,2002,56785678,eyedra@cimex.com.cu,,BENJAMIN,5678567,
8348,RTERTYE ,RTERTYE,1927,4567456745,desarollowebca@amfglobalitems.com,,ABIERTA FEM,467356,rtyer tyrt
8349,TRYITITYU ,RTERTYE,1936,4567456745,desarollowebca@amfglobalitems.com,,ABIERTA FEM,4567456,rtyer tyrt
8350,TIUE575457ETYU ,RTERTYE,1933,4567456745,desarollowebca@amfglobalitems.com,,ABIERTA FEM,8978957,rtyer tyrt
8351,DTYERTYERTY ,RTERTYE,1942,4567456745,desarollowebca@amfglobalitems.com,,ABIERTA FEM,2q34233,rtyer tyrt
8352,RTHSDFHD ,RTHSDFHD,2003,5473456345,nemesis@havanatur.cu,,INFANTIL,456734567,sfdgsdf
8353,FTEUYHEDTRJD ,RTHSDFHD,2003,5473456345,nemesis@havanatur.cu,,INFANTIL,5683456745,sfdgsdf
8354,GJMFGHJFGH ,RTHSDFHD,2003,5473456345,nemesis@havanatur.cu,,INFANTIL,674567834,sfdgsdf
8355,KGHKJFGHK ,RTHSDFHD,2003,5473456345,nemesis@havanatur.cu,,INFANTIL,57357345,sfdgsdf
8356,DHDF ,DHDF,2003,5672346234,desarollowebca@amfglobalitems.com,,INFANTIL,456745674,4fghdf
8357,GHDFGHDFG ,DHDF,2003,5672346234,desarollowebca@amfglobalitems.com,,INFANTIL,567456,4fghdf
8358,HDFGHDFG ,DHDF,2003,5672346234,desarollowebca@amfglobalitems.com,,INFANTIL,74568w3425,4fghdf
8359,GHJFGH ,DHDF,2003,5672346234,desarollowebca@amfglobalitems.com,,INFANTIL,3452345234,4fghdf
8360,SRGERTWER ,SRGERTWER,2007,56u457,soporte@bidaiondo.com,,BENJAMIN,68456745,sgsfgsf
8361,TWERTWERTWE ,SRGERTWER,2007,56u457,soporte@bidaiondo.com,,BENJAMIN,67457324,sgsfgsf
8362,TWERTWERR ,SRGERTWER,2007,56u457,soporte@bidaiondo.com,,BENJAMIN,5735475,sgsfgsf
8363,WERTWERT ,WERTWERT,2007,3645634,soporte@bidaiondo.com,,BENJAMIN,2346334,werytwertwert
8364,WERTWERGWER ,WERTWERT,2007,3645634,soporte@bidaiondo.com,,BENJAMIN,5634563456,werytwertwert
8365,GWERTWERTWE ,WERTWERT,2007,3645634,soporte@bidaiondo.com,,BENJAMIN,3456345,werytwertwert
8366,GHDFGHDFGHDF ,GHDFGHDFGHDF,2007,57634576345,nemesis@havanatur.cu,,BENJAMIN,457e4576w4,fghdfghdf
8367,GHDFGHDFGJH ,GHDFGHDFGHDF,2007,57634576345,nemesis@havanatur.cu,,BENJAMIN,57345634,fghdfghdf
8368,DFTJUDERTHDRTNJ ,GHDFGHDFGHDF,2007,57634576345,nemesis@havanatur.cu,,BENJAMIN,56346345,fghdfghdf
